1,左京区の明日の天気を教えて,左京/区/の/明日/の/天気/を/教え/て,B-place/I-place/O/B-when/O/O/O/O/O
2,明日京都は晴れですか,明日/京都/は/晴れ/です/か,B-when/B-place/O/B-type/O/O
3,来週の天気を教えて,来週/の/天気/を/教え/て,B-when/O/O/O/O/O
4,明後日の天気は,明後日/の/天気/は,B-when/O/O/O
5,明日の東京の降水確率を教えて,明日/の/東京/の/降水/確率/を/教え/て,B-when/O/B-place/O/B-rain/I-rain/O/O/O
6,明日の夜は晴れそうですか,明日/の/夜/は/晴れ/そう/です/か,B-when/I-when/I-when/O/B-type/O/O/O
7,来週雪は降りますか,来週/雪/は/降り/ます/か,B-when/B-type/O/O/O/O
8,明日の東京の風速を教えて,明日/の/東京/の/風速/を/教え/て,B-when/O/B-place/O/B-wind/O/O/O
9,明日の降水量はどのくらいですか,明日/の/降水/量/は/どの/くらい/です/か,B-when/O/B-rain/I-rain/O/B-wh/I-wh/O/O
10,来週の月曜日は晴れますか,来週/の/月曜日/は/晴れ/ます/か,B-when/I-when/I-when/O/B-type/O/O
11,明日は寒いですか,明日/は/寒い/です/か,B-when/O/B-temp/O/O
12,今日の最高気温は何度ですか,今日/の/最高/気温/は/何/度/です/か,B-when/O/B-temp/I-temp/O/O/O/O/O
13,今朝の最低気温は何度でしたか,今朝/の/最低/気温/は/何/度/でし/た/か,B-when/O/B-temp/I-temp/O/O/O/O/O/O
14,福岡の天気を教えて,福岡/の/天気/を/教え/て,B-place/O/O/O/O/O
15,大阪は雨が降っていますか,大阪/は/雨/が/降っ/て/い/ます/か,B-place/O/B-type/O/O/O/O/O/O
16,札幌は晴れていますか,札幌/は/晴れ/て/い/ます/か,B-place/O/B-type/O/O/O/O
17,今日の浜松の最高気温は何度ですか,今日/の/浜松/の/最高/気温/は/何/度/です/か,B-when/O/B-place/O/B-temp/I-temp/O/O/O/O/O
18,先週の熊谷の最高気温を教えてください,先週/の/熊谷/の/最高/気温/を/教え/て/ください,B-when/O/B-place/O/B-temp/B-temp/O/O/O/O
19,この雨はいつまで続きますか,この/雨/は/いつ/まで/続き/ます/か,B-type/I-type/O/B-wh/I-wh/O/O/O
20,来週の最高気温を教えてください,来週/の/最高/気温/を/教え/て/ください,B-when/O/B-temp/I-temp/O/O/O/O
21,今夜は何時ごろから雨が降りますか,今夜/は/何/時/ごろ/から/雨/が/降り/ます/か,B-when/O/B-wh/I-wh/I-wh/I-wh/B-type/O/O/O/O
